model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-2,100,1e-05,1024,0.5358,0.5321,0.5358,0.533,0.3664,0.0758,0.0156,0.0064,0.9022,0.978,0.9936
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-3,100,1e-05,1024,0.5372,0.5326,0.5372,0.5333,0.364,0.0762,0.016,0.0066,0.9012,0.9774,0.9934
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-4,100,1e-05,1024,0.532,0.5279,0.532,0.5284,0.3644,0.0808,0.0158,0.007,0.8964,0.9772,0.993
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-5,100,1e-05,1024,0.538,0.5338,0.538,0.5345,0.3658,0.075,0.0148,0.0064,0.9038,0.9788,0.9936
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-1,100,7.5e-05,1024,0.5384,0.5384,0.5384,0.5356,0.3652,0.0738,0.0158,0.0068,0.9036,0.9774,0.9932
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-2,100,7.5e-05,1024,0.5394,0.5362,0.5394,0.5365,0.3644,0.0752,0.0146,0.0064,0.9038,0.979,0.9936
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-3,100,7.5e-05,1024,0.5374,0.5335,0.5374,0.5345,0.3668,0.075,0.0144,0.0064,0.9042,0.9792,0.9936
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-4,100,7.5e-05,1024,0.529,0.5259,0.529,0.5256,0.37,0.0778,0.016,0.0072,0.899,0.9768,0.9928
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-5,100,7.5e-05,1024,0.5376,0.5357,0.5376,0.5349,0.3664,0.0734,0.016,0.0066,0.904,0.9774,0.9934
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-1,100,5e-05,1024,0.545,0.5481,0.545,0.5445,0.3626,0.0712,0.015,0.0062,0.9076,0.9788,0.9938
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-2,100,5e-05,1024,0.5378,0.533,0.5378,0.5336,0.3636,0.0752,0.016,0.0074,0.9014,0.9766,0.9926
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-3,100,5e-05,1024,0.5366,0.535,0.5366,0.5338,0.3664,0.0744,0.0158,0.0068,0.903,0.9774,0.9932
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-4,100,5e-05,1024,0.5372,0.5348,0.5372,0.5338,0.3644,0.0762,0.0158,0.0064,0.9016,0.9778,0.9936
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-5,100,5e-05,1024,0.5384,0.5375,0.5384,0.536,0.3668,0.0718,0.0168,0.0062,0.9052,0.977,0.9938
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-1,100,2.5e-05,1024,0.5436,0.543,0.5436,0.5412,0.361,0.0738,0.015,0.0066,0.9046,0.9784,0.9934
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-2,100,2.5e-05,1024,0.5354,0.5305,0.5354,0.5319,0.366,0.0756,0.0162,0.0068,0.9014,0.977,0.9932
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-3,100,2.5e-05,1024,0.5382,0.5323,0.5382,0.5332,0.3632,0.0766,0.0154,0.0066,0.9014,0.978,0.9934
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-4,100,2.5e-05,1024,0.5338,0.5313,0.5338,0.5313,0.3666,0.077,0.0158,0.0068,0.9004,0.9774,0.9932
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-CE-5,100,2.5e-05,1024,0.5374,0.5337,0.5374,0.5346,0.3674,0.074,0.0156,0.0056,0.9048,0.9788,0.9944
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-1,100,0.0001,1024,0.525,0.5484,0.525,0.5316,0.395,0.0668,0.0108,0.0024,0.92,0.9868,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-2,100,0.0001,1024,0.526,0.5427,0.526,0.5314,0.3926,0.0662,0.0124,0.0028,0.9186,0.9848,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-3,100,0.0001,1024,0.5252,0.5438,0.5252,0.5309,0.3922,0.0678,0.0116,0.0032,0.9174,0.9852,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-4,100,0.0001,1024,0.5232,0.5392,0.5232,0.5281,0.3922,0.0694,0.012,0.0032,0.9154,0.9848,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-5,100,0.0001,1024,0.5316,0.5489,0.5316,0.5365,0.3892,0.064,0.0122,0.003,0.9208,0.9848,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-1,100,1e-05,1024,0.5274,0.539,0.5274,0.5305,0.3854,0.0714,0.0122,0.0036,0.9128,0.9842,0.9964
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-2,100,1e-05,1024,0.5256,0.5399,0.5256,0.5302,0.3886,0.0712,0.0112,0.0034,0.9142,0.9854,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-3,100,1e-05,1024,0.5222,0.5345,0.5222,0.5258,0.393,0.0694,0.012,0.0034,0.9152,0.9846,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-4,100,1e-05,1024,0.5246,0.5365,0.5246,0.5283,0.3876,0.071,0.0132,0.0036,0.9122,0.9832,0.9964
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-5,100,1e-05,1024,0.526,0.5402,0.526,0.5304,0.3898,0.0686,0.0114,0.0042,0.9158,0.9844,0.9958
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-1,100,7.5e-05,1024,0.5328,0.5468,0.5328,0.5369,0.3838,0.0684,0.0122,0.0028,0.9166,0.985,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-2,100,7.5e-05,1024,0.5284,0.5399,0.5284,0.5322,0.3882,0.0682,0.0116,0.0036,0.9166,0.9848,0.9964
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-3,100,7.5e-05,1024,0.527,0.5351,0.527,0.5295,0.385,0.0718,0.0124,0.0038,0.912,0.9838,0.9962
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-4,100,7.5e-05,1024,0.523,0.5362,0.523,0.527,0.3928,0.0686,0.0122,0.0034,0.9158,0.9844,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-5,100,7.5e-05,1024,0.526,0.5439,0.526,0.5312,0.3924,0.0664,0.0114,0.0038,0.9184,0.9848,0.9962
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-1,100,5e-05,1024,0.5352,0.5487,0.5352,0.5392,0.378,0.0718,0.0122,0.0028,0.9132,0.985,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-2,100,5e-05,1024,0.5326,0.5473,0.5326,0.5375,0.3826,0.0702,0.0112,0.0034,0.9152,0.9854,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-3,100,5e-05,1024,0.5276,0.5404,0.5276,0.532,0.3854,0.0712,0.0124,0.0034,0.913,0.9842,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-4,100,5e-05,1024,0.5276,0.5408,0.5276,0.5316,0.3866,0.0698,0.013,0.003,0.9142,0.984,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-5,100,5e-05,1024,0.5338,0.5455,0.5338,0.5375,0.3822,0.0684,0.012,0.0036,0.916,0.9844,0.9964
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-1,100,2.5e-05,1024,0.5352,0.5492,0.5352,0.5396,0.38,0.0704,0.0116,0.0028,0.9152,0.9856,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-2,100,2.5e-05,1024,0.5318,0.5458,0.5318,0.5362,0.3838,0.0698,0.0112,0.0034,0.9156,0.9854,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-3,100,2.5e-05,1024,0.5292,0.5419,0.5292,0.5332,0.3862,0.0698,0.0114,0.0034,0.9154,0.9852,0.9966
