model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-2,34,2.5e-05,1024,0.6086,0.6346,0.6086,0.6176,0.3376,0.0418,0.009,0.003,0.9462,0.9881,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-3,34,2.5e-05,1024,0.6038,0.6311,0.6038,0.6133,0.3408,0.0432,0.0093,0.0029,0.9446,0.9878,0.9971
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-4,34,2.5e-05,1024,0.6127,0.6349,0.6127,0.6207,0.334,0.041,0.0092,0.0031,0.9467,0.9877,0.9969
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-5,34,2.5e-05,1024,0.6124,0.6377,0.6124,0.6211,0.3347,0.0412,0.0086,0.003,0.9472,0.9884,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa1p5-1,34,7.5e-05,1024,0.6218,0.6375,0.6218,0.6279,0.3218,0.0399,0.0102,0.0063,0.9436,0.9835,0.9937
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa1p5-2,34,7.5e-05,1024,0.6219,0.6261,0.6219,0.6232,0.3175,0.0417,0.0118,0.0071,0.9394,0.9811,0.9929
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa1p5-3,34,7.5e-05,1024,0.6233,0.6243,0.6233,0.6228,0.3148,0.042,0.0124,0.0075,0.938,0.9801,0.9925
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa1p5-4,34,7.5e-05,1024,0.6215,0.6338,0.6215,0.6265,0.3217,0.0398,0.0102,0.0068,0.9432,0.983,0.9932
google/bert_uncased_L-2_H-128_A-2-yelp-CE-TRIPa1p5-5,34,7.5e-05,1024,0.6227,0.627,0.6227,0.6237,0.3172,0.0411,0.0119,0.0071,0.9399,0.9809,0.9929
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa1p5-1,34,5e-05,1024,0.6184,0.6332,0.6184,0.6241,0.3276,0.0412,0.0092,0.0036,0.946,0.9872,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa1p5-2,34,5e-05,1024,0.6115,0.6352,0.6115,0.62,0.3339,0.0422,0.0093,0.0031,0.9454,0.9876,0.9969
